R2,RMSE,MAE,Pearson_r,Spearman_rho,N,study,train_size,Configuration
-5.1838145334675145,65.68591970304674,59.8862780575641,-0.2020470949582197,-0.1951867453947799,95,https://doi.org/10.1038/s41467-024-45422-9,805,RF (tuned) | Raw
-1.6437906039544945,37.974882769399784,33.11144095586599,-0.6789539501876287,-0.5865339898018155,94,10.1039/d0bm01609h,806,RF (tuned) | Raw
-0.5386489729870161,134.72125285198774,80.55332718533933,-0.139072550383446,-0.18926979894030055,59,10.1038/s41551-021-00786-x,841,RF (tuned) | Raw
0.001116221869378542,41.68837832693066,34.30517641827898,0.3783514956732984,0.510398149143144,47,10.1021/acs.jpcb.5b02891,853,RF (tuned) | Raw
-0.11322220196719268,32.29622922865831,18.832479574395368,-0.220557513278192,-0.05419971725059406,44,https://doi.org/10.1038/s41587-019-0247-3,856,RF (tuned) | Raw
-0.0043294029841673964,66.49990594939916,41.32316152126808,-0.2125948472912205,-0.41487946282164756,40,10.1021/acs.nanolett.5b02497,860,RF (tuned) | Raw
-1.374555470144633,25.49170026588075,20.22947454803179,-0.09110139607208093,-0.01842198494185773,39,10.1002/adfm.202106727,861,RF (tuned) | Raw
-0.9602567455594986,32.62963621664244,25.91944421030178,0.2957043026945836,0.1486467653454007,32,10.1073/pnas.1306529110,868,RF (tuned) | Raw
-8.358287471915382,31.727628110145112,30.070475159887113,0.24930914339266258,0.19043514031930378,29,https://doi.org/10.1038/s41467-024-50619-z,871,RF (tuned) | Raw
-0.011839798547709224,12.535092023986945,11.021014180467697,0.13835795350903787,0.1033129904097646,24,10.1039/d5nr00433k,876,RF (tuned) | Raw
-5.951260012036892,39.361451499666614,34.552493510930496,-0.5157746624994584,-0.44149634450596703,24,https://doi.org/10.1016/j.jpha.2024.100996,876,RF (tuned) | Raw
-0.7306175044038514,40.14656542910977,35.57623774119714,-0.2611073952062176,-0.10224530291004172,22,https://doi.org/10.1038/s41563-020-00886-0,878,RF (tuned) | Raw
-1.075693015249112,36.59023816224882,33.57940508574815,-0.16639855321766078,-0.3273426101412438,21,https://doi.org/10.1016/j.ijpharm.2023.123050,879,RF (tuned) | Raw
-1.3822035794262897,58.49176973192416,44.54267844209693,-0.08463777386822549,0.17007075142039496,19,10.1039/d1na00712b,881,RF (tuned) | Raw
