Model,Split,Train_Time_s,Val_R2,Val_RMSE,Val_MAE,Val_Pearson_r,Val_Spearman_rho,Val_N,Test_R2,Test_RMSE,Test_MAE,Test_Pearson_r,Test_Spearman_rho,Test_N,Epochs
Random Forest,Random (80/10/10),0.5,0.3064,53.7589,29.3978,0.5801,0.716,90,0.443,38.1015,25.2298,0.6658,0.7535,90,
Random Forest,Scaffold (Bemis-Murcko),0.5,0.4637,29.13,19.4735,0.6892,0.5279,91,0.4969,18.3393,15.2447,0.7434,0.6472,23,
Random Forest,Study-Based (LOSO),0.5,-1.9812,40.3255,35.4668,-0.2728,-0.1433,94,-5.164,65.5807,59.8115,-0.1679,-0.146,95,
Random Forest,Temporal (≤2022 / 2023 / 2024+),0.4,-0.3047,34.6032,28.8562,-0.0549,-0.1521,54,-0.41,52.9322,42.9974,0.2152,0.1999,215,
XGBoost,Random (80/10/10),8.1,0.6196,39.8147,21.9464,0.7899,0.7823,90,0.0907,48.6839,24.4147,0.5044,0.7025,90,
XGBoost,Scaffold (Bemis-Murcko),8.2,0.3789,31.35,22.3863,0.6471,0.5823,91,0.3331,21.1147,15.7223,0.6962,0.6962,23,
XGBoost,Study-Based (LOSO),7.9,-8.3734,71.5041,65.3712,-0.3284,-0.2474,94,-7.3132,76.1601,70.3188,-0.128,-0.1167,95,
XGBoost,Temporal (≤2022 / 2023 / 2024+),6.5,-1.0076,42.9241,29.679,-0.0883,0.0037,54,-0.9792,62.7123,51.6972,-0.046,0.0443,215,
LightGBM,Random (80/10/10),10.4,0.5871,41.4779,23.9873,0.7675,0.7684,90,0.3343,41.6561,23.5518,0.6108,0.7314,90,
LightGBM,Scaffold (Bemis-Murcko),5.0,0.2764,33.8362,24.6488,0.6243,0.5605,91,0.3995,20.0349,15.2507,0.7231,0.6922,23,
LightGBM,Study-Based (LOSO),4.4,-8.7614,72.9692,66.5842,-0.1252,-0.1501,94,-8.0264,79.3601,71.7555,-0.4396,-0.4149,95,
LightGBM,Temporal (≤2022 / 2023 / 2024+),4.2,-0.7655,40.2533,30.0451,-0.1021,-0.0554,54,-1.7334,73.6992,60.3224,-0.3536,-0.4178,215,
SVR (RBF),Random (80/10/10),0.1,0.0289,63.6119,33.609,0.309,0.5428,90,0.2756,43.4533,26.6513,0.5408,0.6378,90,
SVR (RBF),Scaffold (Bemis-Murcko),0.1,0.4325,29.9661,20.8975,0.6937,0.5312,91,0.3821,20.3232,16.977,0.7226,0.6977,23,
SVR (RBF),Study-Based (LOSO),0.1,-4.8456,56.4672,51.8661,-0.6392,-0.6639,94,-6.1589,70.6751,65.5393,-0.1122,-0.0952,95,
SVR (RBF),Temporal (≤2022 / 2023 / 2024+),0.0,-0.2681,34.1145,28.5896,-0.1576,-0.2097,54,-0.3426,51.6522,42.4658,0.6045,0.6568,215,
MLP (PyTorch),Random (80/10/10),10.2,0.3581,51.7176,28.16,0.6144,0.6837,90,0.3972,39.6378,25.945,0.6413,0.7315,90,159.0
MLP (PyTorch),Scaffold (Bemis-Murcko),4.3,0.3804,31.31,22.2204,0.6343,0.6073,91,0.3865,20.2512,16.2475,0.7656,0.7476,23,85.0
MLP (PyTorch),Study-Based (LOSO),3.9,-1.3953,36.1464,30.0202,-0.7481,-0.7812,94,-10.7679,90.6138,86.0215,0.0714,0.0861,95,82.0
MLP (PyTorch),Temporal (≤2022 / 2023 / 2024+),0.8,-8.8518,95.088,88.7685,-0.1931,-0.4766,54,-8.402,136.6852,129.35,0.4761,0.5641,215,22.0
