Model,Target,Normalised,N_folds,Mean_R2,Std_R2,Median_R2,Mean_RMSE,Std_RMSE,Mean_MAE,Mean_Spearman,Pct_Positive_R2
SVR (RBF),Particle Size,Raw,39,-76.2559467060928,421.61914230655367,-1.5137856679243145,46.30899272249805,25.135030387900688,38.1117202922413,-0.02177105654804273,2.564102564102564
XGBoost (tuned),Particle Size,Raw,39,-90.9411443265742,486.3321495421966,-1.1926479893918005,45.884295351263134,23.119642354887365,37.810857988601406,0.06334138165823926,5.128205128205128
LightGBM (tuned),Particle Size,Raw,39,-96.9619102392569,514.9657934719479,-1.2175641133588955,45.618819984618725,21.995970118853865,37.9744238881431,-0.0005136545040711965,0.0
RF (tuned),Particle Size,Raw,39,-106.75450232249531,589.9050389334542,-1.3822035794262897,46.562955100613436,23.615318323274636,38.621171569988405,0.025341098891894766,2.564102564102564
RF (default),Particle Size,Raw,39,-109.24904055823087,600.8216033748054,-1.4109070010521765,46.56438620240159,25.716136418515095,38.38452776410792,0.0196847736475449,2.564102564102564
XGB (tuned) + StudyFeats,Particle Size,Z-Norm + SCF,39,0.013204287900521175,0.05833782270203929,-0.0044861136037746,0.9511357763775893,0.03410087639038502,0.7334059645705784,0.15323530489149897,48.717948717948715
RF (tuned) + StudyFeats,Particle Size,Z-Norm + SCF,39,-0.00012884228538902233,0.04131089691294055,-0.00026153393985661744,0.9578284416523533,0.02945887266217795,0.7404579115174027,0.18385045706727088,46.15384615384615
LightGBM (tuned),Particle Size,Z-Normalised,39,0.01812786269195814,0.05938809961331379,-0.0026067308153547852,0.9489437212977648,0.039954419983348935,0.7372281186514378,0.12416778099187438,38.46153846153847
XGBoost (tuned),Particle Size,Z-Normalised,39,0.015428227544396801,0.06882774102491065,-0.0033522064964963683,0.9498688212758422,0.03810411549287788,0.7310152828665842,0.180140519661211,46.15384615384615
RF (default),Particle Size,Z-Normalised,39,0.009778887967878496,0.1372466699896879,-0.0010238272847467034,0.9508446864334227,0.06857571855251765,0.7276207522472229,0.10535309164628796,46.15384615384615
RF (tuned),Particle Size,Z-Normalised,39,0.0019115036742045565,0.04233909543163161,0.00017199515623045336,0.9568393130663433,0.02999210566245391,0.7408184359691019,0.1778670599507861,51.28205128205128
SVR (RBF),Particle Size,Z-Normalised,39,-0.24271363016027145,0.37087786161489816,-0.17937161223268805,1.0572674082547329,0.1561441054979542,0.8179120942883659,0.06960512224489795,23.076923076923077
