study,n_epochs,ps_R2,ps_RMSE,ps_MAE,ps_Spearman_rho,ps_N,pdi_R2,pdi_RMSE,pdi_MAE,pdi_Spearman_rho,pdi_N,ee_R2,ee_RMSE,ee_MAE,ee_Spearman_rho,ee_N,zeta_R2,zeta_RMSE,zeta_MAE,zeta_Spearman_rho,zeta_N,bio_accuracy,bio_N
https://doi.org/10.1038/s41467-024-45422-9,110,-0.5214138597081124,1.226947,0.9955045,0.02037780505922772,95,-0.8655808589141132,1.3586548566818237,1.0730652809143066,0.007823056738375527,95,-0.10977417831888991,1.0478990077972412,0.8972401022911072,0.13242685167060775,95,-1.4020241543379388,1.5416678190231323,1.272197961807251,-0.2610334792601583,95,0.5,6.0
10.1038/s41551-021-00786-x,65,-0.16360981466170577,1.0695269,0.7990338,-0.2589187908409472,59,-0.12263011743094898,1.0479623079299927,0.8866432309150696,0.3947108830763724,46,,,,,0,,,,,0,0.2,5.0
10.1021/acs.jpcb.5b02891,68,-0.010369671637613376,0.9944207,0.80921495,0.04497048389987723,47,,,,,0,0.12373197888820375,0.925861120223999,0.8224477171897888,0.6976889699367776,46,,,,,0,,
https://doi.org/10.1038/s41587-019-0247-3,35,-0.007750808459059622,0.9923948,0.6058021,0.13617762807014666,44,0.003767457482323433,0.9867070913314819,0.73061203956604,0.2337848825538925,44,0.0012302622424410492,0.9879627823829651,0.6821617484092712,0.18924731288642238,44,0.002142825442280838,0.9417983889579773,0.7473357319831848,-0.02510482226267169,9,0.21428571428571427,42.0
10.1021/acs.nanolett.5b02497,66,0.012965204632302108,0.9809989,0.5963143,0.16015590860282494,40,0.044549340466695675,0.9651758670806885,0.7637434005737305,0.4016612703282503,40,0.04199429080616712,0.9664654731750488,0.8014467358589172,0.19821640755113595,40,,,,,2,0.24390243902439024,41.0
10.1002/adfm.202106727,52,-0.045502967394565275,1.0093043,0.85056186,-0.26753720012146975,39,0.04956340201588705,0.9623234868049622,0.6659495234489441,0.49807322092734607,39,0.008460022502143505,0.9829119443893433,0.7621262073516846,-0.018732281139668412,39,,,,,0,1.0,1.0
10.1073/pnas.1306529110,143,-0.47933815253296963,1.1971253,0.86275697,0.12683044903848867,32,,,,,0,-0.07622821739004837,1.021075963973999,0.4555414319038391,-0.052582701170765425,32,,,,,0,0.0,32.0
https://doi.org/10.1038/s41467-024-50619-z,78,-0.13668036524700078,1.047609,0.90381795,-0.3903341408652714,29,-0.11021729450539675,1.0353423357009888,0.8042260408401489,-0.22590569659810522,29,,,,,0,,,,,0,0.13793103448275862,29.0
https://doi.org/10.1016/j.ijpharm.2023.123050,44,-0.020063893340728667,0.98564166,0.7482603,-0.03899904356018488,21,-0.03226097569731867,0.9915168881416321,0.7748265266418457,-0.20156572926881924,21,0.007601034985478816,0.9721841216087341,0.9259673357009888,0.06137867960206486,21,0.008777486879964824,0.9716077446937561,0.5666407346725464,0.44653886011074184,21,0.0,1.0
10.1039/d1na00712b,59,-0.03629208721639654,0.99601763,0.8251371,0.8029993952445221,18,,,,,0,0.0,0.06892978399991989,0.0686984583735466,,18,,,,,0,,
